Date;IndexReturnPerc;StockReturnPerc
2020-12-31;10,36;8,41
2021-01-31;-3,67;0,53
2021-02-28;2,53;2,63
2021-03-31;-1,56;15
2021-04-30;-1,37;-2,9
2021-05-31;2,21;3,81
2021-06-30;3,09;6,6
2021-07-31;4,18;3,03
2021-08-31;2,27;7,26
2021-09-30;1,47;0,07
2021-10-31;-1,14;2,96
2021-11-30;-0,58;0,22
2021-12-31;9,11;8,49
2022-01-31;1,61;10,91
2022-02-28;-6,08;-6,28
2022-03-31;2,33;6,28
2022-04-30;5,01;13,58
2022-05-31;2,83;5,76
2022-06-30;-6,02;2,67
2022-07-31;2,73;1,31
2022-08-31;1,96;1,09
2022-09-30;6,68;2,24
2022-10-31;3,89;-3,92
2022-11-30;4,76;0,96
2022-12-31;-1,88;10,93
2023-01-31;-4,02;-7,34
2023-02-28;3,23;-6,04
2023-03-31;1,24;-2,7
2023-04-30;0,35;6,62
2023-05-31;-2,6;-5,46
